ORF	hap alpha | growth (culture turbidity) | standard | MM + (H–L)HKU + Trp | Cai H~Becker JM, 2006
YBR278W	0.881
YGR044C	1.036
YGR076C	0.705
YER144C	0.931
YOR371C	0.788
YOR038C	0.989
YKL208W	3.700
YKR016W	0.537
YDR234W	0.576
YDL210W	0.838
YOL079W	1.366
YDR377W	0.831
YOL096C	1.149
YFL041W	0.602
YGR067C	1.048
YKR039W	1.114
YOR161C	1.185
YML010C-B	1.212
YKL038W	1.022
YBL089W	0.773
YLR068W	1.224
YER149C	1.234
YGR260W	0.320
YDR300C	1.940
YDR225W	2.001
YOR208W	1.189
YJL185C	1.030
YHR160C	1.124
YDR465C	0.877
YDL009C	0.952
YEL005C	0.991
YAL061W	1.085
YOR045W	1.288
YNL281W	0.883
YBR024W	0.750
YPL229W	0.916
YOR382W	0.810
YBR113W	1.038
YMR148W	1.365
YNL292W	0.973
YGL146C	0.906
YDR165W	0.971
YER049W	1.040
YDL118W	1.084
YGR207C	1.216
YKL096W	0.847
YPR046W	0.532
YDL020C	0.063
YKL169C	0.400
YDR504C	1.104
YNL338W	1.109
YIL030C	1.201
YDL213C	1.270
YBR298C	0.905
YGR153W	0.811
YMR104C	1.365
YER028C	1.288
YGR288W	1.511
YDR452W	0.913
YEL029C	0.112
YDL172C	-0.021
YIL037C	1.128
YMR102C	1.126
YPL025C	1.340
YNL285W	1.154
YFR016C	0.920
YDR192C	1.080
YHR087W	1.141
YDR352W	0.782
YBL029W	1.022
YKR007W	4.533
YHR012W	0.450
YDR131C	1.219
YPL167C	1.070
YDL222C	1.165
YBR075W	0.412
YOR043W	1.370
YNL081C	0.712
YMR072W	0.792
YBL013W	0.832
YBL091C	0.862
YLL063C	1.235
YNR058W	1.015
YJL115W	1.416
YPL161C	0.294
YER055C	1.083
YAL012W	1.000
YEL050C	0.527
YLR096W	0.695
YPR061C	1.029
YIL098C	1.328
YDR076W	1.233
YLR299W	0.682
YOL016C	0.861
YGR121C	0.850
YBR149W	0.976
YAR040C	0.938
YGL230C	1.103
YNL228W	0.480
YFL053W	0.862
YOR331C	0.277
YPR129W	0.972
YMR304W	0.713
YBR281C	0.803
YHR147C	0.860
YNL299W	1.294
YJR053W	1.374
YJR099W	0.943
YGL260W	0.881
YOL008W	0.982
YER140W	1.025
YLR369W	0.024
YML108W	1.031
YOR247W	0.981
YER113C	1.333
YMR315W	0.846
YML084W	1.501
YOL098C	0.795
YBR138C	1.283
YLR335W	0.822
YCL056C	0.824
YLR139C	1.180
YPR059C	0.565
YNR001C	0.772
YKR095W	1.049
YER041W	1.162
YMR319C	0.801
YLR329W	1.056
YJR040W	0.750
YIL107C	1.578
YLR112W	0.701
YBR092C	1.313
YER053C	1.173
YGL021W	1.265
YMR173W-A	0.850
YMR214W	0.919
YBR093C	1.469
YIL084C	0.641
YMR119W	1.417
YBR015C	1.110
YJR135C	1.110
YFL031W	1.219
YJR066W	1.015
YIL132C	1.235
YFL048C	1.277
YER032W	0.655
YDR005C	0.868
YML005W	1.041
YDL068W	1.275
YGL024W	2.340
YML131W	1.211
YNL044W	0.764
YPR170C	1.158
YCR102W-A	1.127
YMR025W	0.113
YPL129W	0.183
YBR249C	0.334
YLR150W	1.196
YNL129W	1.354
YEL014C	1.161
YPL179W	1.040
YNL063W	1.258
YJL190C	1.398
YFR033C	1.056
YLR083C	1.179
YAL020C	0.666
YKL084W	1.031
YGR037C	0.716
YBL094C	1.064
YCR050C	0.846
YGL041C	0.752
YDR140W	0.425
YAR043C-A	1.063
YPL103C	1.032
YBL059W	1.000
YOR139C	0.425
YGL226W	0.608
YGR248W	1.081
YPL046C	1.078
YNL077W	0.879
YNL197C	0.513
YDR403W	1.162
YNL231C	1.867
YDR516C	0.859
YBL017C	0.971
YLR403W	3.124
YPL120W	1.375
YIL164C	1.284
YJL058C	0.814
YJL166W	1.378
YDR419W	1.075
YNL204C	-0.725
YMR318C	0.756
YOR380W	1.043
YHR177W	0.163
YFR015C	0.881
YLR312W-A	0.497
YGL002W	0.918
YGR249W	1.228
YML110C	1.096
YBR259W	1.132
YHR041C	0.812
YPL264C	1.163
YCL040W	0.938
YHR015W	0.971
YJR015W	1.025
YHR120W	0.275
YBR044C	1.262
YDL161W	0.988
YGR023W	0.877
YHL012W	1.352
YLR188W	1.154
YDR335W	0.491
YFL018C	0.012
YDR450W	0.991
YDR079W	0.850
YJL062W	2.013
YDL206W	0.811
YKL163W	1.206
YOR115C	1.420
YMR054W	1.060
YNL099C	0.994
YJR117W	0.466
YKR029C	0.480
YBR172C	0.531
YJR011C	0.805
YKL179C	0.652
YDL025C	1.114
YPL061W	1.179
YKL054C	2.999
YHR100C	0.250
YDL045W-A	0.897
YCL044C	0.757
YBR048W	1.049
YKL190W	0.996
YJR014W	1.151
YNL227C	2.604
YLR365W	0.869
YMR292W	0.680
YMR137C	1.029
YGR043C	1.062
YDR137W	0.463
YPR032W	0.792
YHL020C	0.740
YLR176C	1.129
YML086C	1.338
YJR038C	1.084
YKL003C	1.657
YNL008C	1.390
YOL114C	0.934
YIL056W	0.786
YNL226W	1.309
YOL081W	0.082
YJL036W	0.813
YHR137W	1.289
YAR030C	0.878
YLR295C	0.273
YKL148C	1.403
YKL134C	0.443
YLR054C	0.842
YGL110C	1.225
YBL048W	0.977
YLR443W	0.977
YER114C	1.105
YOR297C	1.058
YBR294W	0.962
YHR150W	1.627
YDR268W	0.704
YMR036C	1.126
YMR082C	0.984
YOL002C	1.165
YOR013W	0.908
YFR054C	1.197
YGL101W	1.200
YNL253W	1.021
YNL079C	0.297
YJR087W	0.860
YJL172W	0.940
YOR125C	1.131
YHR183W	0.176
YBL082C	0.942
YLR205C	0.992
YGL231C	0.871
YDL052C	0.653
YAL035W	0.891
YMR317W	0.756
YKL119C	1.026
YDL109C	1.118
YER072W	0.460
YNL143C	1.226
YNR060W	1.102
YNL160W	0.527
YDL192W	1.099
YPR003C	1.133
YLR104W	0.433
YDR184C	0.975
YDR476C	1.026
YKL131W	0.793
YLR461W	1.118
YGL259W	1.043
YPL245W	1.027
YDL072C	0.909
YOR258W	1.206
YDL019C	0.756
YIR028W	0.968
YOR229W	1.080
YAL058W	1.269
YCR062W	1.063
YML099C	1.096
YKL026C	1.283
YDR009W	1.227
YHR132W-A	0.863
YOR360C	1.019
YDR332W	0.764
YDL070W	1.704
YNL170W	1.370
YDR093W	1.049
YMR258C	0.998
YBL049W	0.898
YOL093W	0.871
YBR197C	1.378
YOL059W	0.833
YDL146W	1.282
YHR116W	1.055
YKL017C	1.227
YHR049W	1.049
YDR444W	1.121
YFR011C	1.347
YCR100C	1.435
YBR285W	1.268
YLR125W	0.987
YOR071C	1.014
YPL050C	1.149
YDR114C	1.050
YHR034W	1.297
YDR134C	0.934
YDL229W	1.286
YJR043C	0.893
YKR088C	1.193
YGR045C	0.943
YGR027C	0.882
YIL125W	0.551
YBR101C	1.313
YJR149W	1.482
YIL036W	0.752
YCR046C	1.458
YNR068C	1.020
YJR048W	1.032
YDR070C	0.513
YFL034W	1.010
YEL030W	1.188
YCR090C	1.129
YBR097W	0.125
YHL005C	0.380
YGR008C	1.032
YAL067C	0.750
YDR203W	0.495
YNL177C	3.517
YFR013W	0.815
YGR233C	0.995
YBR081C	1.666
YHR018C	0.047
YOL033W	0.925
YNL203C	-0.212
YGL166W	0.173
YDL167C	0.592
YGR209C	1.363
YGL060W	0.911
YNR006W	1.122
YER051W	1.122
YHR189W	0.910
YDR428C	0.976
YOL163W	0.930
YCR005C	1.546
YDR110W	1.027
YER117W	1.047
YDR128W	1.359
YNL239W	2.117
YDR169C	1.012
YBR270C	1.054
YMR121C	1.221
YLR405W	1.508
YGL028C	0.936
YDR010C	1.216
YPL133C	1.453
YBR301W	1.029
YJR025C	0.635
YCR073C	0.848
YMR228W	1.028
YGL076C	1.558
YCL047C	0.863
YDL197C	1.096
YMR095C	1.161
YHR129C	0.639
YLR271W	1.244
YPR121W	0.943
YKR047W	0.235
YPL186C	1.198
YIR036C	1.127
YER050C	0.921
YOR108W	0.067
YGL057C	1.213
YOL065C	1.150
YOR321W	1.037
YBR027C	0.674
YNL321W	1.122
YIL096C	1.049
YGR197C	1.021
YFL054C	0.806
YPL006W	1.036
YLR123C	1.426
YLL058W	1.148
YLR052W	1.086
YDR483W	1.022
YKR015C	0.890
YBR012C	1.069
YOL155C	1.107
YOL131W	0.998
YML048W	0.714
YJL057C	1.059
YCR015C	0.839
YKR054C	0.548
YPR073C	1.018
YPR049C	0.996
YCR007C	0.975
YLR070C	0.944
YDR163W	1.182
YPR087W	1.667
YDR065W	0.688
YMR032W	0.153
YKL220C	1.017
YGR212W	0.954
YCL049C	0.795
YDR195W	0.935
YHR028C	0.957
YPR100W	0.430
YIL160C	0.946
YJL110C	1.280
YFL025C	1.085
YOR066W	0.989
YCR028C-A	0.636
YMR114C	1.116
YLL023C	1.484
YHR077C	0.522
YDR085C	1.070
YHR078W	0.719
YNL159C	2.005
YMR091C	0.634
YPL130W	1.213
YDR496C	1.228
YHL010C	0.682
YPL222W	1.134
YPR184W	0.967
YPR191W	1.050
YGR136W	1.252
YDR315C	0.179
YOR049C	1.100
YML052W	1.334
YMR077C	1.597
YDL127W	1.301
YLR429W	0.865
YER181C	1.160
YPL003W	1.377
YPL042C	2.075
YPL137C	0.867
YLR434C	1.007
YHR142W	0.983
YGL223C	0.192
YPR197C	1.205
YJR150C	0.932
YDL090C	1.210
YHR076W	1.127
YCR030C	1.213
YJL158C	0.859
YEL028W	1.141
YGR089W	1.270
YER169W	0.868
YPR031W	0.725
YGL053W	0.785
YJL071W	0.237
YOR018W	0.767
YJR109C	-0.011
YLR273C	0.762
YOL068C	1.406
YGL029W	0.096
YBL001C	1.127
YKR009C	0.353
YMR125W	1.917
YHR168W	0.834
YGL071W	0.178
YOR289W	1.019
YOL150C	0.838
YHR047C	1.634
YLR312C	0.567
YLR441C	0.952
YIL071C	1.795
YMR271C	1.281
YML013C-A	1.365
YLR133W	0.909
YMR230W	1.389
YKL129C	1.225
YIL163C	2.073
YBR250W	1.217
YKR010C	1.055
YOL095C	1.060
YOR083W	1.168
YIL009W	0.764
YBR039W	1.811
YKL109W	1.120
YPL201C	1.008
YGR169C	1.071
YOL007C	0.990
YFR045W	1.110
YOR202W	0.956
YLR391W	1.180
YIL074C	1.455
YOR154W	0.840
YDL218W	1.185
YPL232W	1.017
YER153C	1.424
YDL033C	1.122
YLR444C	0.992
YDL005C	1.232
YHR143W	0.947
YDR069C	0.726
YDL194W	1.088
YIR031C	1.031
YJL051W	0.489
YPL078C	0.889
YML109W	0.585
YCL025C	0.792
YLR341W	1.002
YGR250C	1.045
YLR171W	1.184
YHR123W	1.116
YPL111W	1.150
YOR059C	1.075
YML104C	1.251
YGR123C	1.172
YOL107W	0.961
YNL027W	1.385
YKR050W	1.928
